Q,Region,CBA,CBT
2003-02-15,cuyo,1273.5429229963568,3201.1098150962157
2003-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2003-02-15,noreste,1278.9170206041613,2826.5784198684482
2003-02-15,noroeste,1240.888694769851,2718.7688813442023
2003-02-15,pampeana,1415.2164582506123,3340.0203241818676
2003-02-15,patagonia,1474.784598316027,3952.4762775799372
2003-05-15,cuyo,1273.5429229963568,3201.1098150962157
2003-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2003-05-15,noreste,1278.9170206041613,2826.5784198684482
2003-05-15,noroeste,1240.888694769851,2718.7688813442023
2003-05-15,pampeana,1415.2164582506123,3340.0203241818676
2003-05-15,patagonia,1474.784598316027,3952.4762775799372
2003-08-15,cuyo,1273.5429229963568,3201.1098150962157
2003-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2003-08-15,noreste,1278.9170206041613,2826.5784198684482
2003-08-15,noroeste,1240.888694769851,2718.7688813442023
2003-08-15,pampeana,1415.2164582506123,3340.0203241818676
2003-08-15,patagonia,1474.784598316027,3952.4762775799372
2003-11-15,cuyo,1273.5429229963568,3201.1098150962157
2003-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2003-11-15,noreste,1278.9170206041613,2826.5784198684482
2003-11-15,noroeste,1240.888694769851,2718.7688813442023
2003-11-15,pampeana,1415.2164582506123,3340.0203241818676
2003-11-15,patagonia,1474.784598316027,3952.4762775799372
2004-02-15,cuyo,1273.5429229963568,3201.1098150962157
2004-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2004-02-15,noreste,1278.9170206041613,2826.5784198684482
2004-02-15,noroeste,1240.888694769851,2718.7688813442023
2004-02-15,pampeana,1415.2164582506123,3340.0203241818676
2004-02-15,patagonia,1474.784598316027,3952.4762775799372
2004-05-15,cuyo,1273.5429229963568,3201.1098150962157
2004-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2004-05-15,noreste,1278.9170206041613,2826.5784198684482
2004-05-15,noroeste,1240.888694769851,2718.7688813442023
2004-05-15,pampeana,1415.2164582506123,3340.0203241818676
2004-05-15,patagonia,1474.784598316027,3952.4762775799372
2004-08-15,cuyo,1273.5429229963568,3201.1098150962157
2004-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2004-08-15,noreste,1278.9170206041613,2826.5784198684482
2004-08-15,noroeste,1240.888694769851,2718.7688813442023
2004-08-15,pampeana,1415.2164582506123,3340.0203241818676
2004-08-15,patagonia,1474.784598316027,3952.4762775799372
2004-11-15,cuyo,1273.5429229963568,3201.1098150962157
2004-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2004-11-15,noreste,1278.9170206041613,2826.5784198684482
2004-11-15,noroeste,1240.888694769851,2718.7688813442023
2004-11-15,pampeana,1415.2164582506123,3340.0203241818676
2004-11-15,patagonia,1474.784598316027,3952.4762775799372
2005-02-15,cuyo,1273.5429229963568,3201.1098150962157
2005-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2005-02-15,noreste,1278.9170206041613,2826.5784198684482
2005-02-15,noroeste,1240.888694769851,2718.7688813442023
2005-02-15,pampeana,1415.2164582506123,3340.0203241818676
2005-02-15,patagonia,1474.784598316027,3952.4762775799372
2005-05-15,cuyo,1273.5429229963568,3201.1098150962157
2005-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2005-05-15,noreste,1278.9170206041613,2826.5784198684482
2005-05-15,noroeste,1240.888694769851,2718.7688813442023
2005-05-15,pampeana,1415.2164582506123,3340.0203241818676
2005-05-15,patagonia,1474.784598316027,3952.4762775799372
2005-08-15,cuyo,1273.5429229963568,3201.1098150962157
2005-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2005-08-15,noreste,1278.9170206041613,2826.5784198684482
2005-08-15,noroeste,1240.888694769851,2718.7688813442023
2005-08-15,pampeana,1415.2164582506123,3340.0203241818676
2005-08-15,patagonia,1474.784598316027,3952.4762775799372
2005-11-15,cuyo,1273.5429229963568,3201.1098150962157
2005-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2005-11-15,noreste,1278.9170206041613,2826.5784198684482
2005-11-15,noroeste,1240.888694769851,2718.7688813442023
2005-11-15,pampeana,1415.2164582506123,3340.0203241818676
2005-11-15,patagonia,1474.784598316027,3952.4762775799372
2006-02-15,cuyo,1273.5429229963568,3201.1098150962157
2006-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2006-02-15,noreste,1278.9170206041613,2826.5784198684482
2006-02-15,noroeste,1240.888694769851,2718.7688813442023
2006-02-15,pampeana,1415.2164582506123,3340.0203241818676
2006-02-15,patagonia,1474.784598316027,3952.4762775799372
2006-05-15,cuyo,1273.5429229963568,3201.1098150962157
2006-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2006-05-15,noreste,1278.9170206041613,2826.5784198684482
2006-05-15,noroeste,1240.888694769851,2718.7688813442023
2006-05-15,pampeana,1415.2164582506123,3340.0203241818676
2006-05-15,patagonia,1474.784598316027,3952.4762775799372
2006-08-15,cuyo,1273.5429229963568,3201.1098150962157
2006-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2006-08-15,noreste,1278.9170206041613,2826.5784198684482
2006-08-15,noroeste,1240.888694769851,2718.7688813442023
2006-08-15,pampeana,1415.2164582506123,3340.0203241818676
2006-08-15,patagonia,1474.784598316027,3952.4762775799372
2006-11-15,cuyo,1273.5429229963568,3201.1098150962157
2006-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2006-11-15,noreste,1278.9170206041613,2826.5784198684482
2006-11-15,noroeste,1240.888694769851,2718.7688813442023
2006-11-15,pampeana,1415.2164582506123,3340.0203241818676
2006-11-15,patagonia,1474.784598316027,3952.4762775799372
2007-02-15,cuyo,1273.5429229963568,3201.1098150962157
2007-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2007-02-15,noreste,1278.9170206041613,2826.5784198684482
2007-02-15,noroeste,1240.888694769851,2718.7688813442023
2007-02-15,pampeana,1415.2164582506123,3340.0203241818676
2007-02-15,patagonia,1474.784598316027,3952.4762775799372
2007-05-15,cuyo,1273.5429229963568,3201.1098150962157
2007-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2007-05-15,noreste,1278.9170206041613,2826.5784198684482
2007-05-15,noroeste,1240.888694769851,2718.7688813442023
2007-05-15,pampeana,1415.2164582506123,3340.0203241818676
2007-05-15,patagonia,1474.784598316027,3952.4762775799372
2007-08-15,cuyo,1273.5429229963568,3201.1098150962157
2007-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2007-08-15,noreste,1278.9170206041613,2826.5784198684482
2007-08-15,noroeste,1240.888694769851,2718.7688813442023
2007-08-15,pampeana,1415.2164582506123,3340.0203241818676
2007-08-15,patagonia,1474.784598316027,3952.4762775799372
2007-11-15,cuyo,1273.5429229963568,3201.1098150962157
2007-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2007-11-15,noreste,1278.9170206041613,2826.5784198684482
2007-11-15,noroeste,1240.888694769851,2718.7688813442023
2007-11-15,pampeana,1415.2164582506123,3340.0203241818676
2007-11-15,patagonia,1474.784598316027,3952.4762775799372
2008-02-15,cuyo,1273.5429229963568,3201.1098150962157
2008-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2008-02-15,noreste,1278.9170206041613,2826.5784198684482
2008-02-15,noroeste,1240.888694769851,2718.7688813442023
2008-02-15,pampeana,1415.2164582506123,3340.0203241818676
2008-02-15,patagonia,1474.784598316027,3952.4762775799372
2008-05-15,cuyo,1273.5429229963568,3201.1098150962157
2008-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2008-05-15,noreste,1278.9170206041613,2826.5784198684482
2008-05-15,noroeste,1240.888694769851,2718.7688813442023
2008-05-15,pampeana,1415.2164582506123,3340.0203241818676
2008-05-15,patagonia,1474.784598316027,3952.4762775799372
2008-08-15,cuyo,1273.5429229963568,3201.1098150962157
2008-08-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2008-08-15,noreste,1278.9170206041613,2826.5784198684482
2008-08-15,noroeste,1240.888694769851,2718.7688813442023
2008-08-15,pampeana,1415.2164582506123,3340.0203241818676
2008-08-15,patagonia,1474.784598316027,3952.4762775799372
2008-11-15,cuyo,1273.5429229963568,3201.1098150962157
2008-11-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2008-11-15,noreste,1278.9170206041613,2826.5784198684482
2008-11-15,noroeste,1240.888694769851,2718.7688813442023
2008-11-15,pampeana,1415.2164582506123,3340.0203241818676
2008-11-15,patagonia,1474.784598316027,3952.4762775799372
2009-02-15,cuyo,1273.5429229963568,3201.1098150962157
2009-02-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2009-02-15,noreste,1278.9170206041613,2826.5784198684482
2009-02-15,noroeste,1240.888694769851,2718.7688813442023
2009-02-15,pampeana,1415.2164582506123,3340.0203241818676
2009-02-15,patagonia,1474.784598316027,3952.4762775799372
2009-05-15,cuyo,1273.5429229963568,3201.1098150962157
2009-05-15,gran_buenos_aires,1428.855155438204,3373.5075357271867
2009-05-15,noreste,1278.9170206041613,2826.5784198684482
2009-05-15,noroeste,1240.888694769851,2718.7688813442023
2009-05-15,pampeana,1415.2164582506123,3340.0203241818676
2009-05-15,patagonia,1474.784598316027,3952.4762775799372
2009-08-15,cuyo,1273.5429229963568,3201.1098150962157
