Q,Region,CBA,CBT
2003-01-01,cuyo,122690,308390
2003-01-01,gran_buenos_aires,137650,324990
2003-01-01,noreste,123210,272300
2003-01-01,noroeste,119540,261920
2003-01-01,pampeana,136340,321770
2003-01-01,patagonia,142080,380770
2003-02-01,cuyo,122690,308390
2003-02-01,gran_buenos_aires,137650,324990
2003-02-01,noreste,123210,272300
2003-02-01,noroeste,119540,261920
2003-02-01,pampeana,136340,321770
2003-02-01,patagonia,142080,380770
2003-03-01,cuyo,122690,308390
2003-03-01,gran_buenos_aires,137650,324990
2003-03-01,noreste,123210,272300
2003-03-01,noroeste,119540,261920
2003-03-01,pampeana,136340,321770
2003-03-01,patagonia,142080,380770
2003-04-01,cuyo,122690,308390
2003-04-01,gran_buenos_aires,137650,324990
2003-04-01,noreste,123210,272300
2003-04-01,noroeste,119540,261920
2003-04-01,pampeana,136340,321770
2003-04-01,patagonia,142080,380770
2003-05-01,cuyo,122690,308390
2003-05-01,gran_buenos_aires,137650,324990
2003-05-01,noreste,123210,272300
2003-05-01,noroeste,119540,261920
2003-05-01,pampeana,136340,321770
2003-05-01,patagonia,142080,380770
2003-06-01,cuyo,122690,308390
2003-06-01,gran_buenos_aires,137650,324990
2003-06-01,noreste,123210,272300
2003-06-01,noroeste,119540,261920
2003-06-01,pampeana,136340,321770
2003-06-01,patagonia,142080,380770
2003-07-01,cuyo,122690,308390
2003-07-01,gran_buenos_aires,137650,324990
2003-07-01,noreste,123210,272300
2003-07-01,noroeste,119540,261920
2003-07-01,pampeana,136340,321770
2003-07-01,patagonia,142080,380770
2003-08-01,cuyo,122690,308390
2003-08-01,gran_buenos_aires,137650,324990
2003-08-01,noreste,123210,272300
2003-08-01,noroeste,119540,261920
2003-08-01,pampeana,136340,321770
2003-08-01,patagonia,142080,380770
2003-09-01,cuyo,122690,308390
2003-09-01,gran_buenos_aires,137650,324990
2003-09-01,noreste,123210,272300
2003-09-01,noroeste,119540,261920
2003-09-01,pampeana,136340,321770
2003-09-01,patagonia,142080,380770
2003-10-01,cuyo,122690,308390
2003-10-01,gran_buenos_aires,137650,324990
2003-10-01,noreste,123210,272300
2003-10-01,noroeste,119540,261920
2003-10-01,pampeana,136340,321770
2003-10-01,patagonia,142080,380770
2003-11-01,cuyo,122690,308390
2003-11-01,gran_buenos_aires,137650,324990
2003-11-01,noreste,123210,272300
2003-11-01,noroeste,119540,261920
2003-11-01,pampeana,136340,321770
2003-11-01,patagonia,142080,380770
2003-12-01,cuyo,122690,308390
2003-12-01,gran_buenos_aires,137650,324990
2003-12-01,noreste,123210,272300
2003-12-01,noroeste,119540,261920
2003-12-01,pampeana,136340,321770
2003-12-01,patagonia,142080,380770
2004-01-01,cuyo,122690,308390
2004-01-01,gran_buenos_aires,137650,324990
2004-01-01,noreste,123210,272300
2004-01-01,noroeste,119540,261920
2004-01-01,pampeana,136340,321770
2004-01-01,patagonia,142080,380770
2004-02-01,cuyo,122690,308390
2004-02-01,gran_buenos_aires,137650,324990
