Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2003-02-15,cuyo,1227.3627684117912,3184.7771977502325,9.049569938596896,111,288,18345,47601
2003-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.049569938596896,125,304,20604,50217
2003-02-15,noreste,1232.130273205757,2811.8558949373987,9.049569938596896,112,254,18416,42027
2003-02-15,noroeste,1197.4449498245592,2708.834587450183,9.049569938596896,108,245,17898,40488
2003-02-15,pampeana,1366.1084763454912,3328.815534019302,9.049569938596896,124,301,20419,49754
2003-02-15,patagonia,1422.3866776697025,3935.376729360791,9.049569938596896,129,356,21260,58820
2003-05-15,cuyo,1227.3627684117912,3184.7771977502325,9.080915148960893,111,289,18345,47601
2003-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.080915148960893,125,305,20604,50217
2003-05-15,noreste,1232.130273205757,2811.8558949373987,9.080915148960893,112,255,18416,42027
2003-05-15,noroeste,1197.4449498245592,2708.834587450183,9.080915148960893,109,246,17898,40488
2003-05-15,pampeana,1366.1084763454912,3328.815534019302,9.080915148960893,124,302,20419,49754
2003-05-15,patagonia,1422.3866776697025,3935.376729360791,9.080915148960893,129,357,21260,58820
2003-08-15,cuyo,1227.3627684117912,3184.7771977502325,9.107024893686976,112,290,18345,47601
2003-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.107024893686976,126,306,20604,50217
2003-08-15,noreste,1232.130273205757,2811.8558949373987,9.107024893686976,112,256,18416,42027
2003-08-15,noroeste,1197.4449498245592,2708.834587450183,9.107024893686976,109,247,17898,40488
2003-08-15,pampeana,1366.1084763454912,3328.815534019302,9.107024893686976,124,303,20419,49754
2003-08-15,patagonia,1422.3866776697025,3935.376729360791,9.107024893686976,130,358,21260,58820
2003-11-15,cuyo,1227.3627684117912,3184.7771977502325,9.185439733585635,113,293,18345,47601
2003-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.185439733585635,127,309,20604,50217
2003-11-15,noreste,1232.130273205757,2811.8558949373987,9.185439733585635,113,258,18416,42027
2003-11-15,noroeste,1197.4449498245592,2708.834587450183,9.185439733585635,110,249,17898,40488
2003-11-15,pampeana,1366.1084763454912,3328.815534019302,9.185439733585635,125,306,20419,49754
2003-11-15,patagonia,1422.3866776697025,3935.376729360791,9.185439733585635,131,361,21260,58820
2004-02-15,cuyo,1227.3627684117912,3184.7771977502325,9.269175644842626,114,295,18345,47601
2004-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.269175644842626,128,311,20604,50217
2004-02-15,noreste,1232.130273205757,2811.8558949373987,9.269175644842626,114,261,18416,42027
2004-02-15,noroeste,1197.4449498245592,2708.834587450183,9.269175644842626,111,251,17898,40488
2004-02-15,pampeana,1366.1084763454912,3328.815534019302,9.269175644842626,127,309,20419,49754
2004-02-15,patagonia,1422.3866776697025,3935.376729360791,9.269175644842626,132,365,21260,58820
2004-05-15,cuyo,1227.3627684117912,3184.7771977502325,9.452322325320722,116,301,18345,47601
2004-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.452322325320722,130,318,20604,50217
2004-05-15,noreste,1232.130273205757,2811.8558949373987,9.452322325320722,116,266,18416,42027
2004-05-15,noroeste,1197.4449498245592,2708.834587450183,9.452322325320722,113,256,17898,40488
2004-05-15,pampeana,1366.1084763454912,3328.815534019302,9.452322325320722,129,315,20419,49754
2004-05-15,patagonia,1422.3866776697025,3935.376729360791,9.452322325320722,134,372,21260,58820
2004-08-15,cuyo,1227.3627684117912,3184.7771977502325,9.596698625580013,118,306,18345,47601
2004-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.596698625580013,132,322,20604,50217
2004-08-15,noreste,1232.130273205757,2811.8558949373987,9.596698625580013,118,270,18416,42027
2004-08-15,noroeste,1197.4449498245592,2708.834587450183,9.596698625580013,115,260,17898,40488
2004-08-15,pampeana,1366.1084763454912,3328.815534019302,9.596698625580013,131,319,20419,49754
2004-08-15,patagonia,1422.3866776697025,3935.376729360791,9.596698625580013,137,378,21260,58820
2004-11-15,cuyo,1227.3627684117912,3184.7771977502325,9.713185483241473,119,309,18345,47601
2004-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,9.713185483241473,134,326,20604,50217
2004-11-15,noreste,1232.130273205757,2811.8558949373987,9.713185483241473,120,273,18416,42027
2004-11-15,noroeste,1197.4449498245592,2708.834587450183,9.713185483241473,116,263,17898,40488
2004-11-15,pampeana,1366.1084763454912,3328.815534019302,9.713185483241473,133,323,20419,49754
2004-11-15,patagonia,1422.3866776697025,3935.376729360791,9.713185483241473,138,382,21260,58820
2005-02-15,cuyo,1227.3627684117912,3184.7771977502325,10.026439342055218,123,319,18345,47601
2005-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,10.026439342055218,138,337,20604,50217
2005-02-15,noreste,1232.130273205757,2811.8558949373987,10.026439342055218,124,282,18416,42027
2005-02-15,noroeste,1197.4449498245592,2708.834587450183,10.026439342055218,120,272,17898,40488
2005-02-15,pampeana,1366.1084763454912,3328.815534019302,10.026439342055218,137,334,20419,49754
2005-02-15,patagonia,1422.3866776697025,3935.376729360791,10.026439342055218,143,395,21260,58820
2005-05-15,cuyo,1227.3627684117912,3184.7771977502325,10.282882541464096,126,327,18345,47601
